Product ID,Product Name,Category,Brand,Materials,Manufacturing Location,Water Usage (L),Carbon Footprint (kg),Energy Consumption (kWh),Environmental Impact Score
P0560,"Maybelline Fit Me! Matte + Poreless Liquid Foundation, 250G",beauty,MAYBELLINE response,"cosmetic, glass",USA,0.5248928521972126,0.06015692492927947,0.5285717310587845,0.0
P0244,Fragrance Deodorant,beauty,BODY FANTASIES,polyester,USA,0.8132170751209631,0.02434648531423455,0.25754750655526426,0.9109685102523897
P0044,Maybelline Fit Me! Matte + Poreless Liquid Foundation 985 Caramel Natural,beauty,MAYBELLINE,plastic,USA,0.46801979686225054,0.04116877679420018,0.5088442301223685,0.09038732900480492
P0360,L'Oreal Paris Super Liner Gel Intenza,beauty,L'OREAL PARIS,organic,China,0.5970273560484977,0.3555880110034968,0.22358621663845152,0.6796130451292847
P0128,Maybelline Dream Pure Bb,fashion,MAYBELLINE,plastic,China,0.09361454419930287,0.07204089505176772,0.1775422016681984,1.0323780145250536
P0170,Maybelline New York Bold Matte Liquid Lipstick,beauty,MAYBELLINE NEW YORK,plastic,China,0.40591341885450344,0.3213264996889297,0.06464110615585134,0.5310648395606228
P0301,Maybelline Fit Me Matte + Poreless Foundation,beauty,MAYBELLINE,pvc,China,0.6702628109778284,0.07595337527433127,0.3633180220528927,0.3353114647034293
P5207,Maybelline New York Fit Me! Matte + Poreless Liquid Foundation,beauty,MAYBELLINE NEW YORK,"plastic, polypropylene",Mexico,0.57756491390816,0.2943887708637405,0.4138561281496813,0.34388344873014154
P0736,"Maybelline Color Sensational Lip Color, 620 Caramel Creme",beauty,MAYBELLINE,"polybutene, polyethylene terephthalate",India,0.25679128341566154,0.0378057519628073,0.13991216119913313,0.16816302363810906
P0267,Maybelline Color Sensational Lipstick,fashion,MAYBELLINE,cotton,China,0.8513082534326707,0.18164423250441467,0.388479074235373,0.21608374384630977
P0877,Maybelline Volum' Express The Colossal Mascara,beauty,MAYBELLINE,"plastic, polyurethane film",China,0.6799593489296127,0.0807666007940764,0.3123212660374762,0.1303784423558883
P0254,Maybelline Color Sensational Lipstick,beauty,MAYBELLINE,plastic,China,0.6923326888608033,0.08090461598799621,0.541965142663889,0.5499560833288395
P0283,Maybelline New York Mega Plush Mascara 15Ml,beauty,MAYBELLINE,polypropylene,China,0.22163185922674747,0.4496108264124144,0.3334541957969338,0.35209971459140105
P0982,Rimmel Lasting Finish Lipstick,beauty,RIMMEL,plastic,China,0.1296622707742044,0.02963182196337294,0.3108516656147865,0.5793680663005918
P0093,Maybelline Golden Eye Shadow Palette,beauty,MAYBELLINE student,"plastic, polyester",China,0.014017924076453626,0.17845636653156205,0.2519372218620875,0.8004551459650668
P0732,Maybelline New York - Creamy Matte Lipstick,beauty,MAYBELLINE,polypropylene,China,0.3861295343730138,0.19717099992082696,0.20315681728040058,0.6456673539718071
P1327,Maybelline Color Show Drama Lipstick,beauty,MAYBELLINE,plastic,China,0.1757079694111676,0.3435777730296444,0.4058310808397575,0.2349942618379344
P0107,"Maybelline New York, Volum' Express The Falsies Washable Mascara",beauty,MAYBELLINE,"glass, plastic",United States,0.3522798210426637,0.2989951767560527,0.2781216579354975,0.803947127547731
P0788,Maybelline New York - Colossal Volume Express Mascara (Black),beauty,MAYBELLINE NEW YORK,"nylon, plastic",China,0.7041930911391756,0.031138024084893343,0.2759160354354546,0.581628394223029
P0266,Maybelline New York Color Sensational Lipstick In Brown Sugar,beauty,MAYBELLINE NEW YORK,plastic,China,0.8816349324112345,0.33041680026766246,0.37764396137481204,0.3051102840115425
P0210,Sleek Makeup Matte Me - Lip Crayon,beauty,SLEEK,"plastic, synthetic",China,0.5695817820967711,0.34732884430028976,0.5578568725432674,0.31192697036002215
P0459,Burt'S Bees Lip Shimmer Lipstick In Honey,beauty,BURT'S BEES perform,plastic,China,0.5190369806391597,0.01979217361179436,0.523361902915763,0.2871228153742031
P0358,Striped Raglan Sleeve Sweatshirt,fashion,H&M,"elastane, nylon",China,0.253786548046228,0.05849949800302781,0.19527142366002234,0.49413644947451413
P0335,Maybelline New York Color Show 140 Dark Red Lipstick,beauty,MAYBELLINE NEW YORK,plastic,China,0.5276961542451661,0.08099822800171375,0.5294759302413012,0.747855541619225
P0032,Maybelline New York Super Stay Matte Ink Liquid Lipstick,beauty,MAYBELLINE,"polyurethane, pvc",China,0.4721097399156586,0.0818704335621485,0.10451245783114117,0.48547705200517177
P0435,"Nail Lacquer 250, 10.5 Ml",beauty,MAYBELLINE,"plastic, polyurethane",Italy,0.06770546415579175,0.04801287708736194,0.24295709519778175,0.7064658109285886
P0254,Maybelline Color Sensational Lipstick,beauty,MAYBELLINE,plastic,China,0.7557820000441515,0.0518871060693524,0.4811046906000063,0.5130821878585232
P0125,L'Oreal Paris Infallible Pro-Matte Glow Foundation,beauty,L'ORÉAL PARIS pay,"titanium dioxide 3.00, zinc oxide 3.00",China,0.44641826809429785,0.2786823686335789,0.30611541737574277,0.7060670655079844
P0538,H&M Cotton T-Shirt,fashion,H&M,cotton,India,0.15364857617366132,0.16046227437855348,0.42928928671839417,0.20152818468243253
P0122,Maybelline Lipstick,beauty,MAYBELLINE,"plastic, polyethylene",China,0.19309279266752022,0.011840343052202681,0.12235674146550257,0.1626205483673652
P0042,Cetaphil Gentle Skin Cleanser,beauty,CETAPHIL,paraffin wax,China,0.055752247618763975,0.25195932775497704,0.14400378116097493,0.9295922213038349
P1553,"Maybelline New York Color Jolt Lip Paint, 080 Starlit",beauty,MAYBELLINE NEW YORK room,"acrylic, glass",China,0.19923659897569015,0.11271428387001371,0.11174140719533039,0.6115743631689482
