,product_name,brand,water_usage_liters,carbon_footprint_kg,energy_consumption_kwh,packaging_waste_g,biodegradability,hazardous_chemicals,recyclability_score,environmental_certifications,environmental_impact_score
0,Aqua,The Body Shop,2.7,0.117,0.025,24,0.709,1,7,0,0.424
1,Vitamins 100%,Tonify,0.0,0.0,0.0,5,0.0,0,0,0,0.0
2,Cooling Cream SPF30,Hawaiian Tropic,0.8,1.63,0.39,18,96.28160144102927,8,5,0,0.5475797881373178
3,Morning After Cosmetic Pads,Avon,0.0,10.0,0.0,5,0.0,0,3,0,0.6000000238418579
4,DEWITA FACE BRIGHTENING BRILLIANT HIPHOP DAY CREAM SPF 30,DEWITA,19.0,3.56,0.15,5,66.7,1,9,1,0.13
5,Soy Liquid Lipstick,Garden of Wisdom,3.14,0.051,0.192,2,14.07,10,5,0,91.0175
6,Sunblock SPF 30,COCOA NUTTIN,17.5,1.72,1.17,15,1.1,1,3,0,2.44
7,Toni&Guy Color Shampoo,Toni&Guy,22.0,0.0214106,0.00163633,126,56.5,3,7,1,0.0444988
8,Garnier Skin Naturals Pure Silk Shower Gel,Garnier,6.95,0.0166,0.0084,20,89.9,0,7,0,0.0024
9,Skin Detox Clay Mask,MARNYS,22.07,0.63,0.06,6,3.07,2,3,1,0.18
10,Cleansing & Toning Water,L'OCCITANE DE PROVENCE,3.0,0.53,0.0028,24,98.1,0,5,0,0.0183
11,Panty Hygiene Gel,Lady Jay,11.784,0.033,2.19,25,96.0,1,7,1,0.309
12,NACYS COSMETICS Co. LTD.,NACYS,3.6,0.00175,0.007,20,96.0,0,9,0,0.010469
13,Himalaya Herbal Lip Balm,Himalaya Herbal Healthcare,0.0,0.0045,0.0046,4,99.63,0,7,0,0.03127
14,Hair Color Protective Shampoo,Essence,4.3,0.88509459,1.3935222,30,74.5,6,4,0,0.13098766
15,Natural Blonde Shampoo,Olay,2.0,1.77,0.015,41,26.99,0,9,0,0.419
16,L'Oréal Paris Revitalift Laser Renew Serum,L'Oréal Paris,7.5,0.325,1.054,180,86.6,1,7,0,0.365
17,"Neutrogena 3-in-1 Daily Cleanser, Makeup Remover and Toner, 170 ml",Neutrogena,20.0,0.259,0.228,20,24.0,4,6,0,0.071
18,Oliya Enzyme Spray,Oliya,0.12,0.0244,0.00022,5,0.96,1,9,0,0.00742
19,Dove DermaSeries Hypoallergenic Bar Soap,Dove,0.1,0.212,3.69,15,87.0,0,7,0,0.234
20,GOODISH LIP BALM,Goodish,0.2,0.0816,0.0263,11,100.0,0,3,0,0.1371
21,KISS MY LIPS JAMMIES SPRAY,KISS MY LIPS,21.0,0.42,0.12,22,74.0,0,4,0,0.09125
22,Aromatherapy Lip Balm,'90-minute',0.0,4.23,0.006,133,96.5,0,6,0,0.138
23,L'Oreal Paris True Match Lumi Cushion foundation,L'Oreal Paris,0.7,0.035,0.016,39,0.0,1,8,0,0.227
24,"SOL DE JANEIRO CUPIUA, HAWAIIAN MARKETS, FOODS, ETC.",SOL DE JANEIRO,50.0,5.135,0.188,14,0.78,0,8,0,4.179
25,Dermacur Global Shampoo,L'Oreal,0.0,0.0,0.0,17,100.0,0,10,0,3.33333333333333
26,"NEUTROGENA® RENEWALS® FACIAL CLEANSING TOWELETTES, PACK OF 28",NEUTROGENA®,0.0,0.0,0.0,134,0.28,0,5,0,0.1027
27,Garnier Fructis Style Expert Taffy Orange Shine Shampoo,Garnier,1.6,0.056,1.4,100,70.0,2,7,0,0.049
28,Les Fils de Japon Eau de Parfum,Les Fils de Japon,15.0,2.264,0.137,14,91.14,2,3,0,0.793
29,NIVEA BODY LOTION WITH SHEA BUTTER,NIVEA,5.8,0.044,0.66,28,93.14,0,7,0,0.499
30,SANA AROMATHERAPY - Orange Blossom Body Lotion,SANA AROMATHERAPY,100.0,0.0,50.0,230,0.52,0,7,0,1.12
31,HOUSE OF LIZ PINK GLOW LIPGLOSS 1.00 ML,HOUSE OF LIZ,1.62,0.3,0.04028,1,0.01,1,2,1,0.08548
32,HIMALAYAN SALT BODY SCRUB,mourad,156.0,0.106642329625884,0.0339747835056385,49,0.648843509850367,0,6,1,0.195562782706076
33,Anti-hair Loss Serum,Original,5.45,0.071,0.027,3,94.9,0,7,0,0.095
34,L'Oréal Paris Color Riche Extraordinaire Lip Lacquer Matte,L'Oréal Paris,19.0,1.24,1.31,12,70.0,0,1,1,0.292956875
35,SENSA,Bio Oil,250.0,1.151916666666667,0.0,48,92.43,1,7,0,0.004554166666666667
36,MADRAS SARI COLLECTION,Essence Of Beauty,0.0,0.0,0.0,44,0.0,0,9,0,3.0
37,OBO Cosmetics - Obi Glo Oily Skin,OBO Cosmetics,0.0,0.0,0.0,17,0.0,0,9,0,0.0
38,SPF 30 PA+++ Sunscreen,Kiehl's,123.0,0.1408,0.1646,100,89.0,0,5,2,0.2207
39,PINK MOON REFINING CREAM,Pink Moon,4.5,0.038,0.02,40,52.0,0,7,0,0.13
40,Fresh Sugar Lip Balm,Fresh,1.5,0.123,7.25,16,0.98,15,1,0,0.346
41,RESINOUS OIL,NATURAL RÉSOURCES,15.9,0.0925,0.0069,12,96.5,0,9,0,0.0042
42,Gel,Darphin,0.899,1.81,0.019,63,51.5,1,2,0,0.455
43,Mascara,Maybelline,1.3,46.65160034005,1.2700000000000002,17,0.0,9,7,1,0.2539166666666667
44,BRUSHING ATOMS OF INTERVENTION,Guerlain,149.2,2.87,0.04,22,77.0,1,7,0,24.55
45,MOSCHINO - TODD EYESHADOW - 3 PCS,MOSCHINO,1.1176,0.0058,0.0008,5,0.01,0,8,0,0.1481
46,Cetyl Alcohol and Cetearyl Alcohol,BLESSTITLE,0.22,1.75,0.001361434,121,96.0,1,10,0,0.747909758
47,Garnier Oleo-Fusion hair care oil-infused hair cream 100 ml,Garnier,1.4,0.0409,0.00016,27,96.66667,2,6,2,0.001884534
48,Baby Oil,Baby Oil,2.28,0.31,3.27,5,0.0,1,8,0,0.55
49,Cosmetic,BRAND,19.0,0.149,0.289,11,0.255,3,5,0,0.054
50,NIVEA Whitening Daily Essentials Body Lotion,NIVEA,18.6,0.82,1.75,157,92.1,0,5,0,24.6667
51,Luster Matte,Maybelline New York,2.1,2.94,0.043,6,80.0,9,8,0,12.0
52,Baby Dove Fragrance Free Baby Lotion,Dove,161.7,4.159,9.371,27,100.0,2,2,2,34.089
53,Nivea Sensitive Beauty Lip Butter,Nivea,6.0,0.06,0.24,120,100.0,0,10,0,0.04
54,OIL OF THE LIVE,KIKO MILANO,0.0,0.0,0.0,26,100.0,0,4,0,0.0
55,Loreal Paris Elvive Total Repair 5 Damage-Erasing Balm,Loreal Paris,4.0,7.99,13.9,10,0.0,9,6,0,0.987970051
56,Natural Toothpaste - Mint,Seeds,0.0,2.93899936,1.086,17,100.0,0,7,0,27.2118775
57,Lip Balm,Garnier,500.0,1.9,8.0,10,96.0,4,8,0,4.5
58,Oliellu,Lavera,0.0,0.026,0.115,13,94.1,0,10,2,0.073
59,Pear Beauty Cream,Pear,10.8,1.37,1.18,43,99.5,0,4,0,0.0
60,Nivea Visage Daily Essentials Light Moisturizer SPF 15,NIVEA,12.0,273.39,23.0,29,97.24,1,8,1,0.762
61,Femme 435,Femme,3.3,0.205,0.677,38,0.0,0,4,0,0.207
62,Eye Makeup Remover,L'Oreal,14.0,0.137,0.0012,10,37.803,14,1,0,0.114
63,Alcohol-free cleansing milk for sensitive skin,Bioderma,25.0,12.6598419063153,6.9295045674943,101,60.0,6,7,0,0.72993002628811
64,Garnier Naturals Cleansing Gel Wash,Garnier,2.0,1.58,0.02,20,92.0,4,7,0,1.12
65,Toothpaste,Clinique,1.6,0.826,0.402,4,78.77022084,3,2,2,0.164
66,MARCA ALMIRALL SPICE – FACE CREAM,MARCA ALMIRALL,0.0,0.398,0.187,27,51.0,0,4,0,0.906
67,NIVEA SUN Protect & Moisture Body Lotion SPF50+ 200ml,Nivea,4.1,1.26,0.001,66,0.51,2,8,1,0.54
68,Aqua,Avon,0.0,4.77,0.0,3,82.0,1,4,1,0.19
69,Skin So Soft Antiperspirant Spray,Avon,1.1,0.002,0.001,10,0.25,11,6,0,0.003
70,Moisturizing Cream,my skin,11.0,0.009741142,0.043699999,14,0.82,0,9,1,0.010322916
71,Kiss My Face Shampoo,Kiss My Face,10.0,0.0,2.0,12,100.0,0,5,2,0.55
72,Face masks,Lavera,6.0,0.0,1.2,5,92.0,1,0,0,0.0833333333333333
73,YOUNG PLANET FOREST FRESH SPRAY,YOUNG PLANET,0.415,0.011699107,0.03250683,25,36.34,0,8,0,0.020357822
74,L'oreal I'm a colour protector dry shampoo,L'oreal,110.0,21.277,42.4,131,0.0,3,5,0,77.093
75,EVEREADY,EVEREADY,1.5,0.379,0.109,12,0.0,0,5,0,0.387
76,Pantene shampoo,Pantene,28.0,0.0973,0.0115,40,93.2,1,9,0,0.4791
77,PINK RADIANCE,PINK RADIANCE,3.0,1.39,0.067,6,65.0,1,6,1,0.742
78,Hair Oil,Essence Of Life,15.0,0.1194,0.347,3,92.4,0,8,0,0.2339
79,Vichy Mineral 89,Vichy,0.0,0.0,0.0,20,0.0,3,1,0,0.0
80,Eyedream,Say Yes,1.3,0.505,0.142,12,88.71906709,1,6,0,0.7100000047683716
81,L'Oreal Paris Revitalift Intensive Laser Filler Serum,l'oreal paris,3.0,0.018,0.021,18,0.0,2,8,3,0.034
82,ALBERTO BALSAM,ALBERTO BALSAM,1.5,0.2875,1.1,43,56.1,16,6,0,0.2047
83,Pantene Pro-V Daily Moisturising Conditioner,Pantene,846.0,0.699,11.606,29,0.5,2,0,0,0.093
84,Skin care,CeraVe,56.0,1.454,0.36,150,0.205,1,10,0,0.682
85,Pacifica Purity Coconut Water + Sea Salt Shampoo,PACIFICA,86.25,1.29,1.52,13,91.0,7,5,1,32.39
86,CUTICLE REPAIRING CREAM,Loreal Paris,2.5,0.063,0.051,7,0.4,0,5,0,0.279
87,Nail polish,OPI,4.0,0.043,0.25,119,9.8,0,9,0,0.115
88,Nivea Men Pure & Natural Sensitive Shave Gel,Nivea Men,0.0,2.87,0.076,15,93.0,0,5,0,0.375
89,Dermalogica Skin Smoothing Cream,Dermalogica,120.0,3.71,0.48,46,0.0,6,7,0,1.93
90,Aveeno Daily Moisturizing Lotion,Aveeno,27.0,0.000114,0.00294,15,0.55,1,4,0,0.00288
91,SHEA BUTTER MOISTURIZING LOTION,SHEA,1.8,0.9585,0.1347,54,64.0,2,7,0,0.5742
92,Cosmetic Lotion,COSMEDIA,60.0,2.452,3.0,16,0.854,1,5,0,0.0764
93,Dove Advanced Care Beauty Bar,Dove,25.75,0.591,0.314,105,94.1,0,9,0,0.456
94,Dove,Dove,2.4,0.63,1.12,11,79.0,1,3,0,0.259189383
95,THE ORGANIC PHILIP KINGSLEY NUTRI-PLENISH SHAMPOO,Philip Kingsley,179.0,1.51,13.0,162,24.0,1,3,0,0.34773246
96,Bio-White,Nature,2.0,1.63,0.104,39,84.0,0,7,0,6.980000000000001
97,'Mind Body Spirit',Naturella,0.0,0.0,1.0,14,100.0,0,10,0,0.0
98,Natural Face Mask,Melvita,143.9,0.021383081,2.0,4,0.788,0,4,0,0.963995615
99,Professional Moisturizing Cream,Estee Lauder,0.78,0.1574,0.1446,28,0.2318,3,7,0,0.2917
100,Erase & Go,Hero,1.62,0.0017367426,0.015618376,14,0.24,0,0,0,0.00030780164
101,The Body Shop Oils of Life Intensely Revitalising Facial Oil,The Body Shop,10.52,0.362,0.733,25,59.9,0,8,0,0.563
102,Lipstick,L'Oreal,0.446,0.004,0.201,10,0.02,2,5,4,0.305
103,'Napoleon Perdis Auto Pilot Illuminator - Face','Napoleon Perdis',0.0,0.0,2.4,100,0.0,0,8,0,0.0
104,Cosmic Corrective Hydra - Cream,Cosmic,43.76,0.066,0.00066,129,0.796,5,5,0,0.083
105,Pure Beauty Cream,Pure Beauty,2.3,1.41,0.16,150,80.0,0,9,1,0.412
106,Baby Powder,Johnson's,7.8,0.27,1.04,139,88.0,0,7,0,0.23630982
107,Nail Polish,Maybelline,26.4,0.244,0.025,22,88.6,1,6,0,0.236
108,MATE,MATE,0.0,0.0,0.0,14,100.0,0,5,0,0.0
109,DIM,Loreal,0.22,0.17,0.15,0,0.83,0,7,0,0.65
110,Loving Healing Hair Mask,Loving Healing,1.8,0.09,2.6,145,2.25,7,5,0,0.34
111,L'Oréal Paris Hydra Genius Daily Lotion,L'Oréal Paris,1.2,0.075,0.075,11,0.0,1,7,1,0.075
